"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d"
68,15.3,15.3,84.7,"Rorbas ZH","Rorbas (ZH)","Rorbas ZH","In Rorbas hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 84,7 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 57,4 Prozent angenommen hat, ist die AHV-Reform in Rorbas damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Rorbas eine Rentenreform mit 54 Prozent Nein-Stimmen abgelehnt."
69,70,70,30,"Wallisellen ZH","Wallisellen (ZH)","Wallisellen ZH","Wallisellen hat der Erhöhung des Frauenrentenalters auf 65 mit 70 Prozent  zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 52,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Wallisellen damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Wallisellen eine Rentenreform mit 53,3 Prozent Nein-Stimmen abgelehnt."
70,92.3,92.3,7.7,"Wasterkingen ZH","Wasterkingen (ZH)","Wasterkingen ZH","Die Gemeinde Wasterkingen hat die Erhöhung des Frauenrentenalters auf 65 mit 92,3 Prozent angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 50,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Wasterkingen damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Wasterkingen eine Rentenreform mit 55,6 Prozent Nein-Stimmen abgelehnt."
71,73.3,73.3,26.7,"Wil ZH","Wil (ZH)","Wil ZH ZH","Die Gemeinde Wil ZH hat die Erhöhung des Frauenrentenalters auf 65 mit 73,3 Prozent angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 61,4 Prozent zugestimmt hat, ist die AHV-Reform in Wil ZH damit angenommen worden. Damit hat in Wil ZH im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 61,9 Prozent ein Nein in die Urne gelegt."
72,6.4,6.4,93.6,"Winkel ZH","Winkel (ZH)","Winkel ZH","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Winkel: Mit 93,6 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 75,8 Prozent angenommen hat, ist die AHV-Reform in Winkel damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Winkel eine Rentenreform mit 61,8 Prozent Nein-Stimmen abgelehnt."
81,96.7,96.7,3.3,"Bachs ZH","Bachs (ZH)","Bachs ZH","In Bachs hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 96,7 Prozent zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 56,3 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Bachs damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Bachs eine Rentenreform mit 61,5 Prozent Nein-Stimmen abgelehnt."
82,6.4,6.4,93.6,"Boppelsen ZH","Boppelsen (ZH)","Boppelsen ZH","In Boppelsen hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 93,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 57,2 Prozent angenommen hat, ist die AHV-Reform in Boppelsen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Boppelsen eine Rentenreform mit 53,3 Prozent Nein-Stimmen abgelehnt."
83,43.5,43.5,56.5,"Buchs ZH","Buchs (ZH)","Buchs ZH","In Buchs ZH hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 56,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 72,4 Prozent angenommen hat, ist die AHV-Reform in Buchs ZH damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Buchs ZH eine Rentenreform mit 59 Prozent Nein-Stimmen abgelehnt."
84,55.6,55.6,44.4,"Dällikon ZH","Dällikon (ZH)","Dällikon ZH","55,6 Prozent in Dällikon sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 54 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Dällikon damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Dällikon eine Rentenreform mit 58,6 Prozent Nein-Stimmen abgelehnt."
85,83.1,83.1,16.9,"Dänikon ZH","Dänikon (ZH)","Dänikon ZH","Dänikon hat der Erhöhung des Frauenrentenalters auf 65 mit 83,1 Prozent  zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 61,3 Prozent zugestimmt hat, ist die AHV-Reform in Dänikon damit angenommen worden. Damit hat in Dänikon im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 60,6 Prozent ein Nein in die Urne gelegt."
86,33.1,33.1,66.9,"Dielsdorf ZH","Dielsdorf (ZH)","Dielsdorf ZH","Nein zur Erhöhung des Frauenrentenalters auf 65 in Dielsdorf. Die Gemeinde hat das Volksbegehren mit 66,9 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 54,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Dielsdorf damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Dielsdorf eine Rentenreform mit 58,2 Prozent Nein-Stimmen abgelehnt."
87,36.9,36.9,63.1,"Hüttikon ZH","Hüttikon (ZH)","Hüttikon ZH","Hüttikon hat die Erhöhung des Frauenrentenalters auf 65 mit 63,1 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 65,7 Prozent angenommen hat, ist die AHV-Reform in Hüttikon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Hüttikon eine Rentenreform mit 63,8 Prozent Nein-Stimmen abgelehnt."
88,7.6,7.6,92.4,"Neerach ZH","Neerach (ZH)","Neerach ZH","92,4 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Neerach. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 73,3 Prozent angenommen hat, ist die AHV-Reform in Neerach damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Neerach eine Rentenreform mit 63,1 Prozent Nein-Stimmen abgelehnt."
89,45.6,45.6,54.4,"Niederglatt ZH","Niederglatt (ZH)","Niederglatt ZH","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Niederglatt: Mit 54,4 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 61,6 Prozent angenommen hat, ist die AHV-Reform in Niederglatt damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Niederglatt eine Rentenreform mit 62,4 Prozent Nein-Stimmen abgelehnt."
90,56.9,56.9,43.1,"Niederhasli ZH","Niederhasli (ZH)","Niederhasli ZH","In Niederhasli hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 56,9 Prozent zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 91,4 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Niederhasli damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Niederhasli eine Rentenreform mit 56,8 Prozent Nein-Stimmen abgelehnt."
91,58.4,58.4,41.6,"Niederweningen ZH","Niederweningen (ZH)","Niederweningen ZH","58,4 Prozent der Abstimmenden in der Gemeinde Niederweningen haben Ja gesagt zur Erhöhung des Frauenrentenalters auf 65. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 79,5 Prozent zugestimmt hat, ist die AHV-Reform in Niederweningen damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Niederweningen der Rentenreform mit 50,4 Prozent zugestimmt."
92,29.2,29.2,70.8,"Oberglatt ZH","Oberglatt (ZH)","Oberglatt ZH","70,8 Prozent der Stimmbürgerinnen und Stimmbürger von Oberglatt sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 62,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Oberglatt damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Oberglatt eine Rentenreform mit 60,5 Prozent Nein-Stimmen abgelehnt."
93,71.8,71.8,28.2,"Oberweningen ZH","Oberweningen (ZH)","Oberweningen ZH","Oberweningen hat der Erhöhung des Frauenrentenalters auf 65 mit 71,8 Prozent  zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 51,4 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Oberweningen damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Oberweningen eine Rentenreform mit 55,6 Prozent Nein-Stimmen abgelehnt."
94,54.4,54.4,45.6,"Otelfingen ZH","Otelfingen (ZH)","Otelfingen ZH","Ja zur Erhöhung des Frauenrentenalters auf 65 in Otelfingen mit 54,4 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 52,4 Prozent zugestimmt hat, ist die AHV-Reform in Otelfingen damit angenommen worden. Damit hat in Otelfingen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 56 Prozent ein Nein in die Urne gelegt."
95,43.1,43.1,56.9,"Regensberg ZH","Regensberg (ZH)","Regensberg ZH","56,9 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Regensberg. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 50,7 Prozent angenommen hat, ist die AHV-Reform in Regensberg damit gescheitert. Damit hat in Regensberg im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 55,7 Prozent ein Ja in die Urne gelegt."
96,74.4,74.4,25.6,"Regensdorf ZH","Regensdorf (ZH)","Regensdorf ZH","74,4 Prozent der Stimmbürgerinnen und Stimmbürger von Regensdorf haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 65,4 Prozent zugestimmt hat, ist die AHV-Reform in Regensdorf damit angenommen worden. Damit hat in Regensdorf im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 59 Prozent ein Nein in die Urne gelegt."
97,73.9,73.9,26.1,"Rümlang ZH","Rümlang (ZH)","Rümlang ZH","Rümlang hat der Erhöhung des Frauenrentenalters auf 65 mit 73,9 Prozent  zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 80,6 Prozent zugestimmt hat, ist die AHV-Reform in Rümlang damit angenommen worden. Damit hat in Rümlang im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 58,4 Prozent ein Nein in die Urne gelegt."
98,62.5,62.5,37.5,"Schleinikon ZH","Schleinikon (ZH)","Schleinikon ZH","62,5 Prozent in Schleinikon sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 95,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Schleinikon damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Schleinikon eine Rentenreform mit 55,7 Prozent Nein-Stimmen abgelehnt."
99,30.2,30.2,69.8,"Schöfflisdorf ZH","Schöfflisdorf (ZH)","Schöfflisdorf ZH","In Schöfflisdorf hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 69,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 59 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Schöfflisdorf damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Schöfflisdorf eine Rentenreform mit 54,6 Prozent Nein-Stimmen abgelehnt."
100,51.8,51.8,48.2,"Stadel ZH","Stadel (ZH)","Stadel ZH","Ja zur Erhöhung des Frauenrentenalters auf 65 in Stadel mit 51,8 Prozent. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 63,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Stadel damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Stadel eine Rentenreform mit 60,3 Prozent Nein-Stimmen abgelehnt."
101,42,42,58,"Steinmaur ZH","Steinmaur (ZH)","Steinmaur ZH","In Steinmaur hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 58 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 62,3 Prozent angenommen hat, ist die AHV-Reform in Steinmaur damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Steinmaur eine Rentenreform mit 59,5 Prozent Nein-Stimmen abgelehnt."
102,93,93,7,"Weiach ZH","Weiach (ZH)","Weiach ZH","93 Prozent der Stimmbürgerinnen und Stimmbürger von Weiach haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 57,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Weiach damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Weiach eine Rentenreform mit 65,7 Prozent Nein-Stimmen abgelehnt."
111,57.9,57.9,42.1,"Bäretswil ZH","Bäretswil (ZH)","Bäretswil ZH","57,9 Prozent in Bäretswil sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 69,1 Prozent zugestimmt hat, ist die AHV-Reform in Bäretswil damit angenommen worden. Damit hat in Bäretswil im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 62,8 Prozent ein Nein in die Urne gelegt."
112,66.6,66.6,33.4,"Bubikon ZH","Bubikon (ZH)","Bubikon ZH","66,6 Prozent in Bubikon sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 50,1 Prozent zugestimmt hat, ist die AHV-Reform in Bubikon damit angenommen worden. Damit hat in Bubikon im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 56,3 Prozent ein Nein in die Urne gelegt."
113,39.8,39.8,60.2,"Dürnten ZH","Dürnten (ZH)","Dürnten ZH","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Dürnten: Mit 60,2 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 57,4 Prozent angenommen hat, ist die AHV-Reform in Dürnten damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Dürnten eine Rentenreform mit 59,7 Prozent Nein-Stimmen abgelehnt."
114,32,32,68,"Fischenthal ZH","Fischenthal (ZH)","Fischenthal ZH","68 Prozent der Stimmbürgerinnen und Stimmbürger von Fischenthal sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 59,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Fischenthal damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Fischenthal eine Rentenreform mit 61,9 Prozent Nein-Stimmen abgelehnt."
115,40.4,40.4,59.6,"Gossau ZH","Gossau (ZH)","Gossau ZH","59,6 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Gossau ZH. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 74,2 Prozent angenommen hat, ist die AHV-Reform in Gossau ZH damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Gossau ZH eine Rentenreform mit 58,3 Prozent Nein-Stimmen abgelehnt."
116,99.8,99.8,0.2,"Grüningen ZH","Grüningen (ZH)","Grüningen ZH","Die Gemeinde Grüningen hat der Erhöhung des Frauenrentenalters auf 65 mit dem zweithöchsten Ja-Anteil in der ganzen Schweiz zugestimmt: 99,8 Prozent befürworteten die Vorlage. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 64,3 Prozent zugestimmt hat, ist die AHV-Reform in Grüningen damit angenommen worden. Damit hat in Grüningen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 57,5 Prozent ein Nein in die Urne gelegt."
117,3.4,3.4,96.6,"Hinwil ZH","Hinwil (ZH)","Hinwil ZH","Nein zur Erhöhung des Frauenrentenalters auf 65 in Hinwil. Die Gemeinde hat das Volksbegehren mit 96,6 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 58,1 Prozent angenommen hat, ist die AHV-Reform in Hinwil damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Hinwil eine Rentenreform mit 60,5 Prozent Nein-Stimmen abgelehnt."
118,97.2,97.2,2.8,"Rüti ZH","Rüti (ZH)","Rüti ZH","In Rüti ZH hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 97,2 Prozent zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 59,7 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Rüti ZH damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Rüti ZH eine Rentenreform mit 56,2 Prozent Nein-Stimmen abgelehnt."
119,30.7,30.7,69.3,"Seegräben ZH","Seegräben (ZH)","Seegräben ZH","69,3 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Seegräben. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 53,9 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Seegräben damit gescheitert. Damit hat in Seegräben im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,8 Prozent ein Ja in die Urne gelegt."
120,95.5,95.5,4.5,"Wald ZH","Wald (ZH)","Wald ZH","95,5 Prozent der Abstimmenden in der Gemeinde Wald ZH haben Ja gesagt zur Erhöhung des Frauenrentenalters auf 65. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 54,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Wald ZH damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Wald ZH eine Rentenreform mit 56,1 Prozent Nein-Stimmen abgelehnt."
121,32.3,32.3,67.7,"Wetzikon ZH","Wetzikon (ZH)","Wetzikon ZH","In Wetzikon ZH hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 67,7 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 60,7 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Wetzikon ZH damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Wetzikon ZH eine Rentenreform mit 55,7 Prozent Nein-Stimmen abgelehnt."
131,50.2,50.2,49.8,"Adliswil ZH","Adliswil (ZH)","Adliswil ZH","Ja zur Erhöhung des Frauenrentenalters auf 65 in Adliswil mit 50,2 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 51 Prozent zugestimmt hat, ist die AHV-Reform in Adliswil damit angenommen worden. Damit hat in Adliswil im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,9 Prozent ein Nein in die Urne gelegt."
135,7.2,7.2,92.8,"Kilchberg ZH","Kilchberg (ZH)","Kilchberg ZH","In Kilchberg ZH hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 92,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 77,5 Prozent angenommen hat, ist die AHV-Reform in Kilchberg ZH damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Kilchberg ZH eine Rentenreform mit 52,9 Prozent Nein-Stimmen abgelehnt."
136,55.6,55.6,44.4,"Langnau am Albis ZH","Langnau am Albis (ZH)","Langnau am Albis ZH","In Langnau am Albis hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 55,6 Prozent zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 90,9 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Langnau am Albis damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Langnau am Albis eine Rentenreform mit 51,9 Prozent Nein-Stimmen abgelehnt."
137,10.8,10.8,89.2,"Oberrieden ZH","Oberrieden (ZH)","Oberrieden ZH","Nein zur Erhöhung des Frauenrentenalters auf 65 in Oberrieden. Die Gemeinde hat das Volksbegehren mit 89,2 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 78,2 Prozent angenommen hat, ist die AHV-Reform in Oberrieden damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Oberrieden eine Rentenreform mit 52,1 Prozent Nein-Stimmen abgelehnt."
138,25,25,75,"Richterswil ZH","Richterswil (ZH)","Richterswil ZH","75 Prozent der Stimmbürgerinnen und Stimmbürger von Richterswil sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 61,5 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Richterswil damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Richterswil eine Rentenreform mit 52,4 Prozent Nein-Stimmen abgelehnt."
139,54.6,54.6,45.4,"Rüschlikon ZH","Rüschlikon (ZH)","Rüschlikon ZH","54,6 Prozent in Rüschlikon sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 65,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Rüschlikon damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Rüschlikon eine Rentenreform mit 54,4 Prozent Nein-Stimmen abgelehnt."
141,40.8,40.8,59.2,"Thalwil ZH","Thalwil (ZH)","Thalwil ZH","Thalwil hat die Erhöhung des Frauenrentenalters auf 65 mit 59,2 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 52,9 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Thalwil damit gescheitert. Damit hat in Thalwil im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,2 Prozent ein Ja in die Urne gelegt."
