"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_f"
89,45.6,45.6,54.4,"Niederglatt ZH","Niederglatt (ZH)","Niederglatt ZH","C'est non à 54,4 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Niederglatt. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 61,6 pour cent des suffrages. Les citoyens de Niederglatt avaient déjà refusé la précédente révision de l'AVS en 2017."
90,56.9,56.9,43.1,"Niederhasli ZH","Niederhasli (ZH)","Niederhasli ZH","A Niederhasli, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 56,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 91,4 pour cent de non. Les citoyens de Niederhasli avaient déjà refusé la précédente révision de l'AVS en 2017."
91,58.4,58.4,41.6,"Niederweningen ZH","Niederweningen (ZH)","Niederweningen ZH","C'est oui à 58,4 pour cent à la réforme de l'AVS à Niederweningen. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 79,5 pour cent des voix. Les électeurs de Niederweningen avaient déjà voté oui à la précédente réforme de l'AVS en 2017."
92,29.2,29.2,70.8,"Oberglatt ZH","Oberglatt (ZH)","Oberglatt ZH","Les habitants d'Oberglatt s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 70,8 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 62,1 pour cent de non. Les citoyens d'Oberglatt avaient déjà refusé la précédente révision de l'AVS en 2017."
93,71.8,71.8,28.2,"Oberweningen ZH","Oberweningen (ZH)","Oberweningen ZH","Les habitants d'Oberweningen acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 71,8 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 51,4 pour cent de non. Les citoyens d'Oberweningen avaient déjà refusé la précédente révision de l'AVS en 2017."
94,54.4,54.4,45.6,"Otelfingen ZH","Otelfingen (ZH)","Otelfingen ZH","Les habitants d'Otelfingen approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 54,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 52,4 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Otelfingen passe cette fois-ci du côté du oui."
95,43.1,43.1,56.9,"Regensberg ZH","Regensberg (ZH)","Regensberg ZH","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Regensberg avec 56,9 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 50,7 pour cent des suffrages. Regensberg avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
96,74.4,74.4,25.6,"Regensdorf ZH","Regensdorf (ZH)","Regensdorf ZH","Les électeurs de Regensdorf valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 74,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 65,4 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Regensdorf passe cette fois-ci du côté du oui."
97,73.9,73.9,26.1,"Rümlang ZH","Rümlang (ZH)","Rümlang ZH","Les habitants de Rümlang acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 73,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 80,6 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Rümlang passe cette fois-ci du côté du oui."
98,62.5,62.5,37.5,"Schleinikon ZH","Schleinikon (ZH)","Schleinikon ZH","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Schleinikon avec 62,5 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 95,2 pour cent de non. Les citoyens de Schleinikon avaient déjà refusé la précédente révision de l'AVS en 2017."
99,30.2,30.2,69.8,"Schöfflisdorf ZH","Schöfflisdorf (ZH)","Schöfflisdorf ZH","Les habitants de Schöfflisdorf rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 69,8 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 59 pour cent de non. Les citoyens de Schöfflisdorf avaient déjà refusé la précédente révision de l'AVS en 2017."
100,51.8,51.8,48.2,"Stadel ZH","Stadel (ZH)","Stadel ZH","Les habitants de Stadel approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 51,8 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 63,2 pour cent de non. Les citoyens de Stadel avaient déjà refusé la précédente révision de l'AVS en 2017."
101,42,42,58,"Steinmaur ZH","Steinmaur (ZH)","Steinmaur ZH","Les habitants de Steinmaur rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 58 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 62,3 pour cent des suffrages. Les citoyens de Steinmaur avaient déjà refusé la précédente révision de l'AVS en 2017."
102,93,93,7,"Weiach ZH","Weiach (ZH)","Weiach ZH","Les électeurs de Weiach valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 93 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 57,2 pour cent de non. Les citoyens de Weiach avaient déjà refusé la précédente révision de l'AVS en 2017."
111,57.9,57.9,42.1,"Bäretswil ZH","Bäretswil (ZH)","Bäretswil ZH","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Bäretswil avec 57,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 69,1 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Bäretswil passe cette fois-ci du côté du oui."
112,66.6,66.6,33.4,"Bubikon ZH","Bubikon (ZH)","Bubikon ZH","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Bubikon avec 66,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 50,1 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Bubikon passe cette fois-ci du côté du oui."
113,39.8,39.8,60.2,"Dürnten ZH","Dürnten (ZH)","Dürnten ZH","C'est non à 60,2 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Dürnten. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 57,4 pour cent des suffrages. Les citoyens de Dürnten avaient déjà refusé la précédente révision de l'AVS en 2017."
114,32,32,68,"Fischenthal ZH","Fischenthal (ZH)","Fischenthal ZH","Les habitants de Fischenthal s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 68 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 59,8 pour cent de non. Les citoyens de Fischenthal avaient déjà refusé la précédente révision de l'AVS en 2017."
115,40.4,40.4,59.6,"Gossau ZH","Gossau (ZH)","Gossau ZH","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Gossau (ZH) avec 59,6 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 74,2 pour cent des suffrages. Les citoyens de Gossau (ZH) avaient déjà refusé la précédente révision de l'AVS en 2017."
116,99.8,99.8,0.2,"Grüningen ZH","Grüningen (ZH)","Grüningen ZH","Grüningen se classe au deuxième rang des plus fortes approbations de la révision de l'AVS proposée par les Chambres fédérales. Ses citoyens disent oui à 99,8 pour cent. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 64,3 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Grüningen passe cette fois-ci du côté du oui."
117,3.4,3.4,96.6,"Hinwil ZH","Hinwil (ZH)","Hinwil ZH","A Hinwil, les habitants disent non à 96,6 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 58,1 pour cent des suffrages. Les citoyens de Hinwil avaient déjà refusé la précédente révision de l'AVS en 2017."
118,97.2,97.2,2.8,"Rüti ZH","Rüti (ZH)","Rüti ZH","A Rüti (ZH), les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 97,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 59,7 pour cent de non. Les citoyens de Rüti (ZH) avaient déjà refusé la précédente révision de l'AVS en 2017."
119,30.7,30.7,69.3,"Seegräben ZH","Seegräben (ZH)","Seegräben ZH","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Seegräben avec 69,3 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 53,9 pour cent de non. Seegräben avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
120,95.5,95.5,4.5,"Wald ZH","Wald (ZH)","Wald ZH","C'est oui à 95,5 pour cent à la réforme de l'AVS à Wald (ZH). Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 54,8 pour cent de non. Les citoyens de Wald (ZH) avaient déjà refusé la précédente révision de l'AVS en 2017."
121,32.3,32.3,67.7,"Wetzikon ZH","Wetzikon (ZH)","Wetzikon ZH","A Wetzikon (ZH), les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 67,7 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 60,7 pour cent de non. Les citoyens de Wetzikon (ZH) avaient déjà refusé la précédente révision de l'AVS en 2017."
131,50.2,50.2,49.8,"Adliswil ZH","Adliswil (ZH)","Adliswil ZH","Les habitants d'Adliswil approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 50,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 51 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Adliswil passe cette fois-ci du côté du oui."
135,7.2,7.2,92.8,"Kilchberg ZH","Kilchberg (ZH)","Kilchberg ZH","Les habitants de Kilchberg (ZH) rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 92,8 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 77,5 pour cent des suffrages. Les citoyens de Kilchberg (ZH) avaient déjà refusé la précédente révision de l'AVS en 2017."
136,55.6,55.6,44.4,"Langnau am Albis ZH","Langnau am Albis (ZH)","Langnau am Albis ZH","A Langnau am Albis, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 55,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 90,9 pour cent de non. Les citoyens de Langnau am Albis avaient déjà refusé la précédente révision de l'AVS en 2017."
137,10.8,10.8,89.2,"Oberrieden ZH","Oberrieden (ZH)","Oberrieden ZH","A Oberrieden, les habitants disent non à 89,2 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 78,2 pour cent des suffrages. Les citoyens d'Oberrieden avaient déjà refusé la précédente révision de l'AVS en 2017."
138,25,25,75,"Richterswil ZH","Richterswil (ZH)","Richterswil ZH","Les habitants de Richterswil s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 75 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 61,5 pour cent de non. Les citoyens de Richterswil avaient déjà refusé la précédente révision de l'AVS en 2017."
139,54.6,54.6,45.4,"Rüschlikon ZH","Rüschlikon (ZH)","Rüschlikon ZH","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Rüschlikon avec 54,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 65,2 pour cent de non. Les citoyens de Rüschlikon avaient déjà refusé la précédente révision de l'AVS en 2017."
141,40.8,40.8,59.2,"Thalwil ZH","Thalwil (ZH)","Thalwil ZH","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Thalwil avec 59,2 pour cent des suffrages. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 52,9 pour cent de non. Thalwil avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
151,43.7,43.7,56.3,"Erlenbach ZH","Erlenbach (ZH)","Erlenbach ZH","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Erlenbach (ZH) avec 56,3 pour cent des suffrages. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 76,8 pour cent de non. Les citoyens d'Erlenbach (ZH) avaient déjà refusé la précédente révision de l'AVS en 2017."
