"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d"
70,75.7,75.7,24.3,"Wasterkingen ZH","Wasterkingen (ZH)","Wasterkingen ZH","Die Gemeinde Wasterkingen hat die Erhöhung der Mehrwertsteuer mit 75,7 Prozent angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 59,4 zugestimmt hat, ist die AHV-Reform in Wasterkingen damit angenommen worden. Damit hat in Wasterkingen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 55,6 Prozent ein Nein in die Urne gelegt."
71,41.7,41.7,58.3,"Wil ZH","Wil (ZH)","Wil ZH ZH","Nein zur Erhöhung der Mehrwertsteuer in Wil ZH. Die Gemeinde hat das Volksbegehren mit 58,3 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 59,5 abgelehnt hat, ist die AHV-Reform in Wil ZH damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Wil ZH eine Rentenreform mit 61,9 Nein-Stimmen abgelehnt."
72,77.4,77.4,22.6,"Winkel ZH","Winkel (ZH)","Winkel ZH","77,4 Prozent der Abstimmenden in der Gemeinde Winkel haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Weil die Gemeinde das Frauenrentenalter 65 aber mit 62,3 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Winkel damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Winkel eine Rentenreform mit 61,8 Nein-Stimmen abgelehnt."
81,70.3,70.3,29.7,"Bachs ZH","Bachs (ZH)","Bachs ZH","In Bachs hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 70,3 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 73,8 zugestimmt hat, ist die AHV-Reform in Bachs damit angenommen worden. Damit hat in Bachs im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 61,5 Prozent ein Nein in die Urne gelegt."
82,57.6,57.6,42.4,"Boppelsen ZH","Boppelsen (ZH)","Boppelsen ZH","Boppelsen hat der Erhöhung der Mehrwertsteuer mit 57,6 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 50,9 zugestimmt hat, ist die AHV-Reform in Boppelsen damit angenommen worden. Damit hat in Boppelsen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,3 Prozent ein Nein in die Urne gelegt."
83,57.2,57.2,42.8,"Buchs ZH","Buchs (ZH)","Buchs ZH","Buchs ZH hat der Erhöhung der Mehrwertsteuer mit 57,2 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 60,6 zugestimmt hat, ist die AHV-Reform in Buchs ZH damit angenommen worden. Damit hat in Buchs ZH im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 59 Prozent ein Nein in die Urne gelegt."
84,42.5,42.5,57.5,"Dällikon ZH","Dällikon (ZH)","Dällikon ZH","Dällikon hat die Erhöhung der Mehrwertsteuer mit 57,5 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 83,5 Ja-Stimmen angenommen hat, ist die AHV-Reform in Dällikon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Dällikon eine Rentenreform mit 58,6 Nein-Stimmen abgelehnt."
85,11.3,11.3,88.7,"Dänikon ZH","Dänikon (ZH)","Dänikon ZH","In Dänikon hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 88,7 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch das Frauenrentenalter 65 mit 79,1 abgelehnt hat, ist die AHV-Reform in Dänikon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Dänikon eine Rentenreform mit 60,6 Nein-Stimmen abgelehnt."
86,54.6,54.6,45.4,"Dielsdorf ZH","Dielsdorf (ZH)","Dielsdorf ZH","Die Gemeinde Dielsdorf hat die Erhöhung der Mehrwertsteuer mit 54,6 Prozent angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 59,8 zugestimmt hat, ist die AHV-Reform in Dielsdorf damit angenommen worden. Damit hat in Dielsdorf im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 58,2 Prozent ein Nein in die Urne gelegt."
87,58.5,58.5,41.5,"Hüttikon ZH","Hüttikon (ZH)","Hüttikon ZH","58,5 Prozent in Hüttikon sagen Ja zur Erhöhung der Mehrwertsteuer . Da die Gemeinde auch dem Frauenrentealter 65 mit 89,9 zugestimmt hat, ist die AHV-Reform in Hüttikon damit angenommen worden. Damit hat in Hüttikon im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 63,8 Prozent ein Nein in die Urne gelegt."
88,64.7,64.7,35.3,"Neerach ZH","Neerach (ZH)","Neerach ZH","64,7 Prozent der Stimmbürgerinnen und Stimmbürger von Neerach haben die Erhöhung der Mehrwertsteuer angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 50,1 zugestimmt hat, ist die AHV-Reform in Neerach damit angenommen worden. Damit hat in Neerach im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 63,1 Prozent ein Nein in die Urne gelegt."
89,24.1,24.1,75.9,"Niederglatt ZH","Niederglatt (ZH)","Niederglatt ZH","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Niederglatt: Mit 75,9 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde das Frauenrentenalter 65 mit 50,1 Ja-Stimmen angenommen hat, ist die AHV-Reform in Niederglatt damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Niederglatt eine Rentenreform mit 62,4 Nein-Stimmen abgelehnt."
90,39.9,39.9,60.1,"Niederhasli ZH","Niederhasli (ZH)","Niederhasli ZH","In Niederhasli hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 60,1 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 89,8 abgelehnt hat, ist die AHV-Reform in Niederhasli damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Niederhasli eine Rentenreform mit 56,8 Nein-Stimmen abgelehnt."
91,10,10,90,"Niederweningen ZH","Niederweningen (ZH)","Niederweningen ZH","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Niederweningen: Mit 90 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde das Frauenrentenalter 65 mit 66,4 Ja-Stimmen angenommen hat, ist die AHV-Reform in Niederweningen damit gescheitert. Damit hat in Niederweningen im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,4 Prozent ein Ja in die Urne gelegt."
92,50.2,50.2,49.8,"Oberglatt ZH","Oberglatt (ZH)","Oberglatt ZH","Ja zur Erhöhung der Mehrwertsteuer in Oberglatt mit 50,2 Prozent. Da die Gemeinde auch dem Frauenrentealter 65 mit 56 zugestimmt hat, ist die AHV-Reform in Oberglatt damit angenommen worden. Damit hat in Oberglatt im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 60,5 Prozent ein Nein in die Urne gelegt."
93,56.6,56.6,43.4,"Oberweningen ZH","Oberweningen (ZH)","Oberweningen ZH","Oberweningen hat der Erhöhung der Mehrwertsteuer mit 56,6 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 64 zugestimmt hat, ist die AHV-Reform in Oberweningen damit angenommen worden. Damit hat in Oberweningen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 55,6 Prozent ein Nein in die Urne gelegt."
94,38.9,38.9,61.1,"Otelfingen ZH","Otelfingen (ZH)","Otelfingen ZH","61,1 Prozent der Stimmbürgerinnen und Stimmbürger von Otelfingen sagen Nein zur Erhöhung der Mehrwertsteuer. Da die Gemeinde auch das Frauenrentenalter 65 mit 79,6 abgelehnt hat, ist die AHV-Reform in Otelfingen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Otelfingen eine Rentenreform mit 56 Nein-Stimmen abgelehnt."
95,18.8,18.8,81.2,"Regensberg ZH","Regensberg (ZH)","Regensberg ZH","81,2 Prozent Nein zur Erhöhung der Mehrwertsteuer in Regensberg. Da die Gemeinde auch das Frauenrentenalter 65 mit 89,2 abgelehnt hat, ist die AHV-Reform in Regensberg damit gescheitert. Damit hat in Regensberg im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 55,7 Prozent ein Ja in die Urne gelegt."
96,16.9,16.9,83.1,"Regensdorf ZH","Regensdorf (ZH)","Regensdorf ZH","83,1 Prozent Nein zur Erhöhung der Mehrwertsteuer in Regensdorf. Da die Gemeinde auch das Frauenrentenalter 65 mit 53,4 abgelehnt hat, ist die AHV-Reform in Regensdorf damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Regensdorf eine Rentenreform mit 59 Nein-Stimmen abgelehnt."
97,73.4,73.4,26.6,"Rümlang ZH","Rümlang (ZH)","Rümlang ZH","Rümlang hat der Erhöhung der Mehrwertsteuer mit 73,4 Prozent zugestimmt. Weil die Gemeinde das Frauenrentenalter 65 aber mit 53,9 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Rümlang damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Rümlang eine Rentenreform mit 58,4 Nein-Stimmen abgelehnt."
98,91.4,91.4,8.6,"Schleinikon ZH","Schleinikon (ZH)","Schleinikon ZH","91,4 Prozent in Schleinikon sagen Ja zur Erhöhung der Mehrwertsteuer . Da die Gemeinde auch dem Frauenrentealter 65 mit 80,9 zugestimmt hat, ist die AHV-Reform in Schleinikon damit angenommen worden. Damit hat in Schleinikon im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 55,7 Prozent ein Nein in die Urne gelegt."
99,83.3,83.3,16.7,"Schöfflisdorf ZH","Schöfflisdorf (ZH)","Schöfflisdorf ZH","Schöfflisdorf hat der Erhöhung der Mehrwertsteuer mit 83,3 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 53,7 zugestimmt hat, ist die AHV-Reform in Schöfflisdorf damit angenommen worden. Damit hat in Schöfflisdorf im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 54,6 Prozent ein Nein in die Urne gelegt."
100,58.1,58.1,41.9,"Stadel ZH","Stadel (ZH)","Stadel ZH","Ja zur Erhöhung der Mehrwertsteuer in Stadel mit 58,1 Prozent. Weil die Gemeinde das Frauenrentenalter 65 aber mit 90,2 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Stadel damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Stadel eine Rentenreform mit 60,3 Nein-Stimmen abgelehnt."
101,98.1,98.1,1.9,"Steinmaur ZH","Steinmaur (ZH)","Steinmaur ZH","Steinmaur hat der Erhöhung der Mehrwertsteuer mit 98,1 Prozent zugestimmt. Weil die Gemeinde das Frauenrentenalter 65 aber mit 76 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Steinmaur damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Steinmaur eine Rentenreform mit 59,5 Nein-Stimmen abgelehnt."
102,78.9,78.9,21.1,"Weiach ZH","Weiach (ZH)","Weiach ZH","78,9 Prozent der Stimmbürgerinnen und Stimmbürger von Weiach haben die Erhöhung der Mehrwertsteuer angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 58,6 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Weiach damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Weiach eine Rentenreform mit 65,7 Nein-Stimmen abgelehnt."
111,57.1,57.1,42.9,"Bäretswil ZH","Bäretswil (ZH)","Bäretswil ZH","57,1 Prozent in Bäretswil sagen Ja zur Erhöhung der Mehrwertsteuer . Da die Gemeinde auch dem Frauenrentealter 65 mit 55,4 zugestimmt hat, ist die AHV-Reform in Bäretswil damit angenommen worden. Damit hat in Bäretswil im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 62,8 Prozent ein Nein in die Urne gelegt."
112,23.5,23.5,76.5,"Bubikon ZH","Bubikon (ZH)","Bubikon ZH","Bubikon hat die Erhöhung der Mehrwertsteuer mit 76,5 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 62,8 abgelehnt hat, ist die AHV-Reform in Bubikon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Bubikon eine Rentenreform mit 56,3 Nein-Stimmen abgelehnt."
113,8.7,8.7,91.3,"Dürnten ZH","Dürnten (ZH)","Dürnten ZH","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Dürnten: Mit 91,3 Prozent hat die Gemeinde die Vorlage verworfen. Da die Gemeinde auch das Frauenrentenalter 65 mit 80,9 abgelehnt hat, ist die AHV-Reform in Dürnten damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Dürnten eine Rentenreform mit 59,7 Nein-Stimmen abgelehnt."
114,54.8,54.8,45.2,"Fischenthal ZH","Fischenthal (ZH)","Fischenthal ZH","Ja zur Erhöhung der Mehrwertsteuer in Fischenthal mit 54,8 Prozent. Weil die Gemeinde das Frauenrentenalter 65 aber mit 71 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Fischenthal damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Fischenthal eine Rentenreform mit 61,9 Nein-Stimmen abgelehnt."
115,72.7,72.7,27.3,"Gossau ZH","Gossau (ZH)","Gossau ZH","72,7 Prozent der Stimmbürgerinnen und Stimmbürger von Gossau ZH haben die Erhöhung der Mehrwertsteuer angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 57 zugestimmt hat, ist die AHV-Reform in Gossau ZH damit angenommen worden. Damit hat in Gossau ZH im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 58,3 Prozent ein Nein in die Urne gelegt."
116,78.7,78.7,21.3,"Grüningen ZH","Grüningen (ZH)","Grüningen ZH","78,7 Prozent der Stimmbürgerinnen und Stimmbürger von Grüningen haben die Erhöhung der Mehrwertsteuer angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 50,5 zugestimmt hat, ist die AHV-Reform in Grüningen damit angenommen worden. Damit hat in Grüningen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 57,5 Prozent ein Nein in die Urne gelegt."
117,57.7,57.7,42.3,"Hinwil ZH","Hinwil (ZH)","Hinwil ZH","Die Gemeinde Hinwil hat die Erhöhung der Mehrwertsteuer mit 57,7 Prozent angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 53 zugestimmt hat, ist die AHV-Reform in Hinwil damit angenommen worden. Damit hat in Hinwil im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 60,5 Prozent ein Nein in die Urne gelegt."
118,56,56,44,"Rüti ZH","Rüti (ZH)","Rüti ZH","In Rüti ZH hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 56 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 63,7 zugestimmt hat, ist die AHV-Reform in Rüti ZH damit angenommen worden. Damit hat in Rüti ZH im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 56,2 Prozent ein Nein in die Urne gelegt."
119,70.9,70.9,29.1,"Seegräben ZH","Seegräben (ZH)","Seegräben ZH","70,9 Prozent der Stimmbürgerinnen und Stimmbürger von Seegräben haben die Erhöhung der Mehrwertsteuer angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 52 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Seegräben damit gescheitert. Damit hat in Seegräben im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,8 Prozent ein Ja in die Urne gelegt."
120,31.4,31.4,68.6,"Wald ZH","Wald (ZH)","Wald ZH","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Wald ZH: Mit 68,6 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde das Frauenrentenalter 65 mit 74,8 Ja-Stimmen angenommen hat, ist die AHV-Reform in Wald ZH damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Wald ZH eine Rentenreform mit 56,1 Nein-Stimmen abgelehnt."
121,17.2,17.2,82.8,"Wetzikon ZH","Wetzikon (ZH)","Wetzikon ZH","In Wetzikon ZH hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 82,8 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 78,5 Ja-Stimmen angenommen hat, ist die AHV-Reform in Wetzikon ZH damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Wetzikon ZH eine Rentenreform mit 55,7 Nein-Stimmen abgelehnt."
131,9.1,9.1,90.9,"Adliswil ZH","Adliswil (ZH)","Adliswil ZH","90,9 Prozent der Stimmbürgerinnen und Stimmbürger von Adliswil sagen Nein zur Erhöhung der Mehrwertsteuer. Da die Gemeinde auch das Frauenrentenalter 65 mit 68 abgelehnt hat, ist die AHV-Reform in Adliswil damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Adliswil eine Rentenreform mit 50,9 Nein-Stimmen abgelehnt."
135,95.2,95.2,4.8,"Kilchberg ZH","Kilchberg (ZH)","Kilchberg ZH","Kilchberg ZH hat der Erhöhung der Mehrwertsteuer mit 95,2 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 89,5 zugestimmt hat, ist die AHV-Reform in Kilchberg ZH damit angenommen worden. Damit hat in Kilchberg ZH im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 52,9 Prozent ein Nein in die Urne gelegt."
136,39.5,39.5,60.5,"Langnau am Albis ZH","Langnau am Albis (ZH)","Langnau am Albis ZH","In Langnau am Albis hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 60,5 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 60,4 abgelehnt hat, ist die AHV-Reform in Langnau am Albis damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Langnau am Albis eine Rentenreform mit 51,9 Nein-Stimmen abgelehnt."
137,21.4,21.4,78.6,"Oberrieden ZH","Oberrieden (ZH)","Oberrieden ZH","Nein zur Erhöhung der Mehrwertsteuer in Oberrieden. Die Gemeinde hat das Volksbegehren mit 78,6 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 66,5 abgelehnt hat, ist die AHV-Reform in Oberrieden damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Oberrieden eine Rentenreform mit 52,1 Nein-Stimmen abgelehnt."
138,76.5,76.5,23.5,"Richterswil ZH","Richterswil (ZH)","Richterswil ZH","Ja zur Erhöhung der Mehrwertsteuer in Richterswil mit 76,5 Prozent. Da die Gemeinde auch dem Frauenrentealter 65 mit 71,2 zugestimmt hat, ist die AHV-Reform in Richterswil damit angenommen worden. Damit hat in Richterswil im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 52,4 Prozent ein Nein in die Urne gelegt."
139,76.2,76.2,23.8,"Rüschlikon ZH","Rüschlikon (ZH)","Rüschlikon ZH","76,2 Prozent in Rüschlikon sagen Ja zur Erhöhung der Mehrwertsteuer . Weil die Gemeinde das Frauenrentenalter 65 aber mit 55,4 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Rüschlikon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Rüschlikon eine Rentenreform mit 54,4 Nein-Stimmen abgelehnt."
141,74.6,74.6,25.4,"Thalwil ZH","Thalwil (ZH)","Thalwil ZH","74,6 Prozent in Thalwil sagen Ja zur Erhöhung der Mehrwertsteuer . Weil die Gemeinde das Frauenrentenalter 65 aber mit 93,8 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Thalwil damit gescheitert. Damit hat in Thalwil im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,2 Prozent ein Ja in die Urne gelegt."
151,90,90,10,"Erlenbach ZH","Erlenbach (ZH)","Erlenbach ZH","90 Prozent in Erlenbach ZH sagen Ja zur Erhöhung der Mehrwertsteuer . Weil die Gemeinde das Frauenrentenalter 65 aber mit 55,7 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Erlenbach ZH damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Erlenbach ZH eine Rentenreform mit 56,9 Nein-Stimmen abgelehnt."
152,39.7,39.7,60.3,"Herrliberg ZH","Herrliberg (ZH)","Herrliberg ZH","In Herrliberg hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 60,3 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde das Frauenrentenalter 65 mit 94,7 Ja-Stimmen angenommen hat, ist die AHV-Reform in Herrliberg damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Herrliberg eine Rentenreform mit 60,9 Nein-Stimmen abgelehnt."
153,94.9,94.9,5.1,"Hombrechtikon ZH","Hombrechtikon (ZH)","Hombrechtikon ZH","Die Gemeinde Hombrechtikon hat die Erhöhung der Mehrwertsteuer mit 94,9 Prozent angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 94,7 zugestimmt hat, ist die AHV-Reform in Hombrechtikon damit angenommen worden. Damit hat in Hombrechtikon im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 57,1 Prozent ein Nein in die Urne gelegt."
154,57.3,57.3,42.7,"Küsnacht ZH","Küsnacht (ZH)","Küsnacht ZH","In Küsnacht ZH hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 57,3 Prozent zugestimmt. Weil die Gemeinde das Frauenrentenalter 65 aber mit 58,1 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Küsnacht ZH damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Küsnacht ZH eine Rentenreform mit 57,2 Nein-Stimmen abgelehnt."
155,46.6,46.6,53.4,"Männedorf ZH","Männedorf (ZH)","Männedorf ZH","Männedorf hat die Erhöhung der Mehrwertsteuer mit 53,4 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 99,4 Ja-Stimmen angenommen hat, ist die AHV-Reform in Männedorf damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Männedorf eine Rentenreform mit 50,7 Nein-Stimmen abgelehnt."
